db_name,canonical_name,lat,long,checked
UNIT-3 PRIESTLY,Unit 3 Priestly Hall,37.8672277,-122.260406,1
UNIT-3 IDA SPROUL,Unit 3 Ida Sproul Hall,37.8672277,-122.260406,1
OXFORD TRACT,Oxford Tract,37.8754884,-122.267609,1
MORRISON HALL,Morrison Hall,37.870892,-122.2563905,1
MULFORD HALL,Mulford Hall,37.8726096,-122.2644811,1
STEPHENS HALL,Stephens Hall,37.8712636,-122.2575921,1
1995 UNIVERSITY AV,1995 University Ave,37.8722046,-122.2712868,1
SUTARDJA DAI HALL,Sutardja Dai Hall,37.8747924,-122.2583104,1
BOTANICAL GARDENS,University of California Botanical Gardens,37.8740622,-122.2373817,1
0 UNIT-2 EHRMAN,Unit 2 Ehrman Hall,37.8658323,-122.2553345,1
UNIT-3 SPENS/BLACK,Unit 3 Spens-Black Hall,37.8671726,-122.2603606,1
DWINELLE PLAZA,Dwinelle Plaza,37.87077,-122.2605773,1
2339 HASTE ST,2339 Haste St,37.8658494,-122.2615313,1
SAN FRANCISCO,,,,1
GILL TRACT,Gill Tract,37.885719,-122.298731,1
2150 KITTREDGE ST,2150 Kittredge St,37.8684839,-122.2668623,1
SPACE SCIENCES,Space Sciences Laboratory,37.8805941,-122.2447958,1
0 UNIT-3 NORTON,Unit 3 Norton Hall,37.8672277,-122.260406,1
TAN HALL,Tan Kah Kee Hall,37.8730955,-122.2563923,1
2000 CARLETON,2000 Carleton St,37.8609355,-122.2695117,1
FOOTHILL COMPLEX,Foothill Complex,37.8754481,-122.255814,1
SIMPSON CENTER,Simpson Center,37.870171,-122.251807,1
MEMORIAL GLADE,Memorial Glade,37.8730593,-122.2594471,1
SPIEKER PLAZA,Spieker Plaza,37.8694723,-122.261637,1
BOWLES HALL,Bowles Hall,37.8733996,-122.2530226,1
ETCHEVERRY HALL,Etcheverry Hall,37.8756626,-122.2592805,1
0 UNIT-3 PRIESTLY,Unit 3 Priestly Hall,37.8672277,-122.260406,1
GRIZZLY PEAK BLVD,Grizzly Peak Blvd,37.8828052,-122.2451178,1
0 UNIT-2 GRIFFITH,Unit 2 Griffiths Hall,37.8658151,-122.2542694,1
0 UNIT-2 CUNNINGHAM,Unit 2 Cunninghal Hall,37.8663027,-122.2552402,1
MOSES HALL,Moses Hall,37.8710551,-122.2578523,1
2223 FULTON ST,Athletic Ticket Office,37.8687668,-122.265849,1
UNIT-2 GRIFFITH,Unit 2 Griffiths Hall,37.8658151,-122.2542694,1
CKC-2,Clark Kerr Campus Building 2,37.8638051,-122.24936,1
NORTH SPROUL LOT,North Sproul Lot,37.870062,-122.259019,1
BIRGE HALL,Birge Hall,37.8722322,-122.2571898,1
2481 HEARST,2481 Hearst Ave,37.8750743,-122.2605792,1
STRUCTURE H,,,,1
ALUMNI HOUSE,Alumni House,37.8696964,-122.2611015,1
0 DWINELLE HALL,Dwinelle Hall,37.8707,-122.260552,1
LHS LOT,Lawrence Hall of Science Lot,37.880289,-122.246218,1
DAVIS HALL,Davis Hall,37.8746326,-122.2581201,1
HARGROVE MUSIC LIBRARY,Jean Gray Hargrove Music Library,37.8704475,-122.2561283,1
STRUCTURE U,,,,1
0 UNIT-1 DEUTSCH,Unit 1 Deutsch Hall,37.8676153,-122.2557099,1
CKC-25,Clark Kerr Campus Building 25,37.86541,-122.247156,1
STRUCTURE D,,,,1
ASUC GARAGE,"Berkeley, CA, USA",37.8715926,-122.272747,1
UNIT-1 CHRISTIAN,Unit 1 Christian Hall,37.8677857,-122.260512,1
DOE ANNEX,Doe Annex,37.8722729,-122.259666,1
2515 HILLEGASS AV,2515 Hillegass Ave,37.8647924,-122.2561816,1
BOWLES LOT,Bowles Lot,37.8729394,-122.25395,1
UVA OFFICE,University Village,37.8849256,-122.3010808,1
1608 4TH ST,1608 4th St,37.8732388,-122.3014842,1
STUDENT ATHLETICS HIGH PERFORMANCE CENTER,Simpson Center,37.870171,-122.251807,1
UNIT-2 CUNNINGHAM,Unit 2 Cunningham Hall,37.8663027,-122.2552402,1
CKC-3,Clark Kerr Campus Building 3,37.8638051,-122.24936,1
ROCHDALE VILLAGE,Rochedale Village,37.8657593,-122.2594134,1
UNIT-2 TOWLE,Unit 2 Towles Hall,37.8663429,-122.2546476,1
UNIT-1 SLOTTMAN,Unit 1 Slottman Hall,37.867555,-122.2552224,1
NORTHGATE HALL,North Gate Hall,37.8749998,-122.2596684,1
UNIT-2 EHRMAN,Unit 2 Ehrman Hall,37.8658323,-122.2553345,1
BEARS LAIR,Bear’s Lair,37.8689483,-122.259846,1
GRINNELL PATH,Grinnell Pathway,37.8708016,-122.2643656,1
UNIT-3 NORTON,Unit 3 Norton Hall,37.8672277,-122.260406,1
0 HARGROVE MUSIC LIBRARY,Jean Gray Hargrove Music Library,37.8704475,-122.2561283,1
RICHMOND FIELD STATION,Richmond Field Station,37.9170318,-122.329848,1
2121 ALLSTON WAY,2121 Allston Way,37.8697676,-122.2668361,1
0 GIANNINI HALL,Giannini Hall,37.8735349,-122.2622986,1
0 HEARST MINING BUILDING,Hearst Memorial Mining Building,37.8744829,-122.2572541,1
0 UNIT-1 CHENEY,Unit 1 Cheney Hall,37.8680608,-122.2556064,1
